state,county,cases,deaths
California,Santa Barbara,1509,11
Maryland,Frederick,1498,90
Maryland,Howard,1468,49
Nebraska,Hall,1435,39
New Mexico,San Juan,1408,92
Kansas,Ford,1404,2
Minnesota,Nobles,1394,2
Tennessee,Trousdale,1384,4
Pennsylvania,Lackawanna,1374,127
Alabama,Jefferson,1367,78
Colorado,El Paso,1357,84
Kansas,Finney,1331,6
Arizona,Navajo,1320,48
Florida,Duval,1318,36
Virginia,Henrico,1299,114
Nevada,Washoe,1295,48
Connecticut,Litchfield,1290,117
California,Fresno,1287,17
North Carolina,Wake,1272,30
South Carolina,Richland,1267,61
Pennsylvania,Monroe,1267,89
New York,Sullivan,1258,24
Michigan,Washtenaw,1251,89
California,Sacramento,1249,56
Ohio,Mahoning,1247,156
Delaware,Kent,1238,53
North Dakota,Cass,1229,34
New Mexico,Bernalillo,1225,59
Kansas,Wyandotte,1224,70
Illinois,McHenry,1224,64
California,Contra Costa,1192,33
Massachusetts,Barnstable,1177,96
New York,Putnam,1159,59
South Carolina,Greenville,1145,50
New Hampshire,Rockingham,1138,63
Guam,Unknown,1123,6
Texas,Denton,1116,28
New Jersey,Warren,1091,121
Oklahoma,Oklahoma,1087,49
Texas,Collin,1075,31
Indiana,Hendricks,1068,74
New Jersey,Sussex,1063,139
Florida,Pinellas,1062,71
Wisconsin,Racine,1061,19
Indiana,Allen,1060,72
Indiana,Hamilton,1055,97
Kansas,Leavenworth,1053,7
North Carolina,Durham,1053,39
Virginia,Chesterfield,1043,29
Ohio,Summit,1042,113
Indiana,Johnson,1041,102
Florida,Collier,1030,40
Arizona,Apache,1023,20
Indiana,St. Joseph,1022,35
Georgia,Clayton,1010,38
Oregon,Multnomah,1005,55
Pennsylvania,Dauphin,989,50
Illinois,Kankakee,967,43
Louisiana,Ouachita,966,32
Arkansas,Lincoln,965,8
Connecticut,Middlesex,947,131
Arizona,Coconino,943,66
Michigan,Saginaw,940,99
Minnesota,Anoka,919,42
Nebraska,Lancaster,912,7
Alabama,Montgomery,907,24
Tennessee,Rutherford,906,19
Illinois,St. Clair,905,69
North Carolina,Guilford,904,49
Missouri,Kansas City,903,22
California,Imperial,902,17
Iowa,Linn,899,73
Maryland,Charles,896,63
Florida,Manatee,888,82
New Jersey,Hunterdon,885,53
Rhode Island,Kent,883,46
Connecticut,New London,880,66
Pennsylvania,Lebanon,880,24
North Carolina,Wayne,879,16
Colorado,Boulder,871,60
Pennsylvania,York,866,18
Wisconsin,Kenosha,866,19
Maine,Cumberland,863,38
Oregon,Marion,855,24
California,Ventura,850,28
Texas,Montgomery,848,18
