state,county,cases,deaths
Tennessee,Loudon,97,0
Georgia,Wilcox,97,12
Kentucky,Henderson,97,4
Alabama,Wilcox,97,5
Alabama,Hale,96,2
Oklahoma,Delaware,96,16
Virginia,Winchester city,96,1
Pennsylvania,Mercer,96,4
Mississippi,Lee,96,5
West Virginia,Wayne,96,9
Oklahoma,McClain,95,2
Arkansas,Faulkner,95,3
North Carolina,Bertie,95,3
Michigan,Branch,95,2
Tennessee,Fayette,95,2
South Carolina,Pickens,94,3
Pennsylvania,Juniata,94,2
New York,Clinton,94,4
Kentucky,Adair,94,17
Louisiana,Avoyelles,94,9
Texas,Gray,94,1
Tennessee,Cumberland,94,1
Maine,Penobscot,94,1
Oregon,Polk,93,9
Louisiana,Morehouse,93,5
Tennessee,Macon,93,3
Georgia,Macon,93,6
Mississippi,Marion,93,8
Tennessee,Dickson,93,0
Minnesota,Blue Earth,93,0
California,Napa,93,3
Tennessee,Cheatham,93,0
Oklahoma,Osage,92,8
Pennsylvania,Fayette,92,4
Alabama,Choctaw,92,3
New York,Herkimer,92,1
North Carolina,Caldwell,92,2
Georgia,Grady,92,4
Michigan,Alpena,91,9
Alabama,St. Clair,91,1
Florida,Walton,91,5
Illinois,Monroe,90,11
Georgia,White,90,3
Louisiana,Winn,90,2
Alabama,Barbour,90,1
Michigan,St. Joseph,90,1
New York,Oswego,89,0
Illinois,Knox,89,0
Texas,Maverick,89,0
Iowa,Plymouth,89,0
Virginia,Goochland,88,5
Virginia,Roanoke,88,3
Alabama,Greene,87,4
Iowa,Warren,87,0
Montana,Yellowstone,87,2
Texas,Orange,87,2
North Carolina,Pasquotank,87,7
Minnesota,Todd,87,0
Virginia,Augusta,87,1
Iowa,Poweshiek,87,8
Texas,Gonzales,86,2
Mississippi,Winston,86,0
Pennsylvania,Indiana,86,4
Florida,Bay,86,3
Mississippi,Clay,86,3
Georgia,Dawson,86,1
California,Humboldt,86,0
Missouri,Scott,86,7
Pennsylvania,Susquehanna,85,15
Alaska,Fairbanks North Star Borough,85,2
Georgia,Turner,85,12
Kentucky,Hardin,85,2
Illinois,Coles,85,7
Oklahoma,Creek,85,7
Kentucky,McCracken,85,2
Mississippi,Coahoma,85,3
Louisiana,Bienville,84,20
Alabama,Pickens,84,3
Tennessee,Bradley,84,1
Ohio,Putnam,84,13
Virginia,Prince Edward,83,2
Georgia,Lumpkin,83,1
Minnesota,Pine,83,0
Georgia,Johnson,82,2
Virginia,Galax city,82,0
Virginia,Fluvanna,82,6
Arkansas,Saline,82,1
Texas,Wichita,82,2
Alabama,Talladega,81,2
Mississippi,Hancock,81,10
Texas,Houston,81,0
California,Madera,81,2
Alabama,Clarke,81,2
Georgia,Pierce,81,4
Iowa,Story,81,1
Georgia,Oconee,81,3
Alabama,Chilton,80,1
North Carolina,Onslow,80,2
Georgia,Putnam,80,7
Mississippi,Lawrence,80,0
Georgia,Polk,80,0
Illinois,Grundy,80,1
Idaho,Nez Perce,79,19
Mississippi,Itawamba,79,7
Georgia,Glynn,79,1
Florida,Unknown,79,0
Indiana,Carroll,79,2
New York,Wyoming,79,3
Missouri,Lincoln,78,1
Ohio,Greene,78,5
Mississippi,Wilkinson,78,9
Mississippi,Simpson,78,0
North Carolina,Bladen,78,2
Hawaii,Hawaii,78,0
Kentucky,Shelby,78,3
Oklahoma,Adair,77,3
Wisconsin,Sauk,77,3
Vermont,Windham,77,3
Virginia,Colonial Heights city,77,7
Arkansas,Lawrence,77,4
Georgia,Walker,76,0
Tennessee,Blount,76,3
Michigan,Midland,76,8
South Carolina,Marlboro,76,0
Arkansas,Pope,76,0
Virginia,Lynchburg city,75,1
Nevada,Carson City,75,3
Texas,Liberty,75,3
Illinois,Lee,75,1
Missouri,Cass,75,8
Wisconsin,Grant,75,10
Virginia,Petersburg city,75,2
Louisiana,Jackson,75,10
Minnesota,Winona,75,15
New York,Montgomery,75,3
Mississippi,Yalobusha,75,2
Wisconsin,Eau Claire,75,0
Nevada,Humboldt,74,3
South Dakota,Pennington,74,1
Georgia,Harris,74,3
Mississippi,Montgomery,74,1
Indiana,Fayette,74,4
Pennsylvania,Lawrence,73,8
Indiana,Daviess,73,17
Georgia,Catoosa,73,0
Missouri,Johnson,72,0
Minnesota,Mower,72,0
Colorado,La Plata,72,1
Texas,Comal,72,6
Indiana,Newton,72,10
Arkansas,Cleburne,72,4
Virginia,Charlottesville city,72,2
Illinois,McDonough,72,3
South Carolina,Greenwood,72,1
Oklahoma,Rogers,72,5
Tennessee,Maury,71,0
Indiana,Wabash,71,2
Georgia,Bacon,71,2
Louisiana,Jefferson Davis,71,6
New York,Jefferson,71,0
Georgia,Meriwether,70,1
Tennessee,Washington,70,0
Wisconsin,Sheboygan,70,3
Missouri,Pemiscot,70,3
Alabama,Cullman,70,0
New Mexico,Valencia,69,1
Virgin Islands,Unknown,69,6
Georgia,Peach,69,3
Indiana,Steuben,69,2
Georgia,Elbert,69,0
Colorado,Chaffee,69,17
New York,Cattaraugus,69,1
New York,Delaware,69,0
Mississippi,Jefferson Davis,69,2
Florida,DeSoto,69,7
Missouri,Pettis,69,1
Washington,Cowlitz,69,0
Mississippi,Tippah,69,11
Texas,Hunt,68,3
Missouri,Lafayette,68,3
Maryland,Talbot,68,1
Georgia,Washington,68,1
Mississippi,Sunflower,68,3
Tennessee,Sevier,68,2
New York,Cayuga,68,1
New York,Otsego,67,5
Minnesota,Carlton,67,0
California,El Dorado,67,0
Louisiana,Evangeline,67,1
Mississippi,Marshall,67,3
Virginia,Orange,67,0
Illinois,Cass,66,0
Georgia,Bryan,66,5
Idaho,Kootenai,66,0
Virginia,Montgomery,66,1
Texas,Matagorda,66,5
Georgia,Brooks,66,9
Oklahoma,Greer,66,7
Florida,Nassau,66,1
Arkansas,Mississippi,65,1
Oklahoma,Grady,65,2
North Carolina,Montgomery,65,3
Oregon,Lane,65,2
Illinois,Henry,65,0
Alabama,Limestone,65,0
Michigan,Iosco,65,8
Mississippi,Union,65,4
Iowa,Bremer,65,5
Texas,Grimes,65,1
Illinois,Tazewell,64,4
Ohio,Ottawa,64,3
Wyoming,Natrona,64,0
Utah,Cache,64,0
Florida,Madison,64,3
Georgia,Murray,64,1
Alabama,Dale,63,0
Alabama,Jackson,63,2
New Hampshire,Grafton,63,1
Texas,Parker,63,0
California,San Benito,63,2
Virginia,York,63,3
Tennessee,Wayne,63,0
Tennessee,Coffee,63,0
Minnesota,Freeborn,63,0
Ohio,Sandusky,62,9
Maryland,Somerset,62,1
South Dakota,Union,62,0
Kansas,Riley,62,1
Kansas,Douglas,62,0
Texas,Tom Green,62,1
Michigan,Isabella,62,7
Wisconsin,Jefferson,62,2
Oregon,Yamhill,62,7
Indiana,Kosciusko,62,2
Vermont,Addison,62,2
Alabama,Washington,61,5
Washington,Kittitas,61,0
North Dakota,Stark,61,2
Iowa,Clinton,61,1
Ohio,Jefferson,61,2
Michigan,Cass,61,2
Missouri,Platte,61,0
Ohio,Hocking,61,2
Mississippi,Grenada,60,2
Vermont,Bennington,60,1
Virginia,Louisa,60,0
Texas,Anderson,60,0
Georgia,Greene,60,7
Tennessee,Gibson,59,1
Ohio,Ross,59,1
Texas,Medina,59,2
North Carolina,Brunswick,59,4
Colorado,Routt,59,6
Minnesota,Cottonwood,59,0
Mississippi,Calhoun,59,4
North Carolina,Hertford,59,1
Missouri,Stoddard,58,1
South Carolina,Colleton,58,4
Michigan,Oceana,58,2
Louisiana,Claiborne,58,10
Virginia,Emporia city,58,3
Alabama,Covington,58,1
Texas,Chambers,58,0
Virginia,Hopewell city,58,0
Pennsylvania,Armstrong,58,2
Wisconsin,Calumet,58,1
Michigan,Barry,58,1
Tennessee,Sullivan,57,2
Nevada,Nye,57,1
Pennsylvania,Mifflin,57,1
Oklahoma,Pottawatomie,57,4
Louisiana,Concordia,57,5
South Carolina,Laurens,57,3
Kentucky,Jackson,57,12
Kentucky,Oldham,57,0
Michigan,Crawford,57,5
Colorado,Pitkin,57,2
Ohio,Monroe,56,4
Michigan,Montcalm,56,1
Georgia,Oglethorpe,56,4
Virginia,Prince George,56,0
Minnesota,Polk,56,2
North Carolina,Scotland,55,0
Indiana,Rush,55,2
Ohio,Auglaize,55,3
Missouri,Cole,55,1
North Carolina,Cleveland,55,2
Georgia,McDuffie,55,5
Mississippi,Tate,55,1
Colorado,Delta,55,1
West Virginia,Cabell,55,0
Pennsylvania,Cambria,54,2
Nebraska,Scotts Bluff,54,0
Oregon,Benton,54,5
Virginia,Greensville,54,7
Alabama,Macon,54,2
Nebraska,Hamilton,54,9
Missouri,Cape Girardeau,54,2
Alabama,Crenshaw,53,3
Indiana,LaGrange,53,2
New Hampshire,Belknap,53,0
South Carolina,Marion,53,4
North Carolina,Davie,52,2
South Carolina,Georgetown,52,3
Oregon,Jackson,52,0
Mississippi,Panola,52,2
Alabama,Bullock,52,1
Michigan,Marquette,52,10
Louisiana,Beauregard,52,4
Illinois,Williamson,52,1
Tennessee,Hickman,52,0
Kansas,Reno,51,0
Alabama,Bibb,51,1
Georgia,Camden,51,1
Michigan,Newaygo,51,0
Tennessee,Monroe,51,2
Mississippi,Claiborne,51,1
Texas,Brown,51,7
Minnesota,Otter Tail,51,0
Kentucky,Jessamine,51,0
New York,Seneca,51,0
Delaware,Unknown,50,1
Colorado,Mesa,50,0
Pennsylvania,Union,50,1
Pennsylvania,Montour,50,0
Indiana,Washington,50,1
Kansas,Coffey,50,8
Virginia,Carroll,50,0
Kentucky,Edmonson,50,9
Virginia,Washington,50,4
Vermont,Rutland,50,1
North Carolina,Greene,50,2
Kentucky,Madison,50,1
North Carolina,Lincoln,50,0
North Carolina,Pender,50,1
Texas,Polk,50,0
Kentucky,Pulaski,50,2
Washington,Adams,50,0
Oklahoma,Kay,50,7
Maine,Waldo,50,14
Michigan,Gratiot,50,4
Louisiana,Caldwell,50,0
Illinois,Marion,49,0
Nevada,Lyon,49,0
Texas,Hale,49,4
Texas,Henderson,49,0
Florida,Bradford,49,2
New Hampshire,Cheshire,49,2
New York,Chautauqua,49,3
Missouri,Mississippi,49,0
Minnesota,Itasca,49,6
North Carolina,Anson,49,0
Indiana,Randolph,49,3
Mississippi,Humphreys,49,5
New Mexico,Socorro,49,4
Virginia,King George,48,4
Wisconsin,St. Croix,48,0
Georgia,Ben Hill,48,1
North Carolina,Rockingham,48,2
Tennessee,Lauderdale,48,1
West Virginia,Marion,48,2
New York,Schoharie,48,0
Vermont,Windsor,48,2
Georgia,Effingham,47,1
Ohio,Williams,47,1
Colorado,Elbert,47,2
Georgia,Liberty,47,0
Georgia,Marion,47,2
Missouri,Perry,47,0
Iowa,Henry,47,1
West Virginia,Wood,47,2
Kentucky,Calloway,47,1
Wisconsin,La Crosse,47,0
Alabama,Blount,47,1
Virginia,Fairfax city,47,3
Arkansas,Sevier,46,1
Tennessee,Greene,46,2
Arizona,Cochise,46,1
Wisconsin,Green,46,0
Ohio,Hancock,46,1
Georgia,Banks,46,0
Virginia,Henry,46,2
Georgia,Wilkinson,46,3
Arkansas,Lonoke,46,0
Louisiana,East Carroll,46,0
Iowa,Boone,46,0
Georgia,Toombs,46,4
Mississippi,Amite,45,1
Pennsylvania,Clinton,45,0
North Carolina,Caswell,45,1
Florida,Okeechobee,45,0
Nebraska,Lincoln,45,2
Alabama,Winston,45,1
Illinois,Jasper,45,7
Louisiana,Vermilion,45,3
Oklahoma,Payne,45,1
Mississippi,Tunica,45,2
Mississippi,Wayne,45,0
Tennessee,Dyer,45,0
Georgia,Bulloch,45,2
Indiana,Fulton,45,1
Virginia,Dinwiddie,45,0
Georgia,Clinch,45,1
New York,Allegany,44,0
Alabama,Henry,44,1
South Carolina,Edgefield,44,2
Texas,Wharton,44,0
Georgia,Pike,44,2
Michigan,Huron,44,1
Virginia,Danville city,44,1
Virginia,Caroline,44,2
Virginia,Falls Church city,44,4
Missouri,Moniteau,44,1
Florida,Hardee,44,0
Indiana,Marshall,44,1
Mississippi,Walthall,44,0
Georgia,Brantley,44,2
Minnesota,Unknown,44,9
Georgia,Dodge,44,2
New Hampshire,Carroll,44,0
Georgia,Lamar,44,1
Colorado,Alamosa,43,2
Virginia,Westmoreland,43,0
Indiana,Jasper,43,1
Virginia,Williamsburg city,43,3
Iowa,Cedar,43,1
South Dakota,Beadle,43,2
Minnesota,Nicollet,43,3
Louisiana,Red River,43,6
Ohio,Huron,43,1
New Mexico,Curry,43,0
Texas,Waller,43,0
Tennessee,Franklin,43,1
Nebraska,Gage,43,4
Arkansas,Miller,42,1
Illinois,Macoupin,42,1
Illinois,Adams,42,1
Washington,Okanogan,42,2
South Dakota,Yankton,42,0
New York,Essex,42,0
Wisconsin,Chippewa,42,0
Texas,Rusk,42,2
Minnesota,Watonwan,41,0
Pennsylvania,Perry,41,1
South Carolina,Oconee,41,0
Ohio,Clinton,41,0
South Carolina,Chester,41,0
Louisiana,St. Helena,41,1
California,Nevada,41,1
South Carolina,Barnwell,41,1
Kentucky,Allen,41,2
Virginia,Bedford,41,1
Indiana,Jefferson,41,1
Oregon,Klamath,41,0
Georgia,Seminole,41,2
Pennsylvania,Bradford,41,5
Florida,Calhoun,40,2
California,Sutter,40,2
Texas,Ochiltree,40,2
Kansas,Kearny,40,1
North Dakota,Morton,40,2
Iowa,Guthrie,40,3
Illinois,Perry,40,0
Georgia,Stewart,40,0
Louisiana,LaSalle,40,0
Illinois,Pulaski,40,0
Arkansas,Cross,39,0
North Dakota,Mountrail,39,0
Texas,Caldwell,39,0
Iowa,Des Moines,39,1
Alabama,Escambia,39,3
Montana,Missoula,39,1
Kentucky,Simpson,39,2
Kentucky,Boyd,39,3
Georgia,Pickens,39,3
Michigan,Sanilac,39,5
Minnesota,Dodge,39,0
Illinois,Montgomery,39,0
North Carolina,Stokes,39,0
Oklahoma,Pittsburg,39,3
Colorado,Crowley,39,1
Texas,Navarro,38,2
Texas,Dawson,38,1
Texas,Wise,38,2
Nebraska,Howard,38,0
Ohio,Muskingum,38,0
Arkansas,Sharp,38,2
Minnesota,Chisago,38,1
Pennsylvania,Blair,38,1
Mississippi,Jefferson,38,0
Vermont,Washington,38,1
Arizona,La Paz,38,2
Minnesota,Meeker,38,0
Oregon,Clatsop,38,0
West Virginia,Fayette,38,3
Georgia,Fannin,38,1
North Carolina,Martin,37,4
Arkansas,White,37,1
Iowa,Mahaska,37,1
Tennessee,Anderson,37,1
Texas,Wilson,37,5
Colorado,Unknown,37,1
Montana,Flathead,37,2
West Virginia,Ohio,37,1
Georgia,Union,37,1
Missouri,Sullivan,37,0
Mississippi,Perry,37,2
Minnesota,Jackson,36,0
Minnesota,Goodhue,36,0
Missouri,Camden,36,1
Minnesota,Le Sueur,36,1
South Carolina,Abbeville,36,0
Texas,Cherokee,36,2
Georgia,Miller,36,0
Missouri,Pulaski,36,1
Iowa,Benton,36,1
Kentucky,Marshall,36,2
Pennsylvania,Somerset,36,0
Texas,Parmer,36,0
Texas,Red River,36,0
Texas,Calhoun,36,3
Wisconsin,Columbia,36,1
New York,Cortland,36,0
Ohio,Union,36,0
Iowa,Jones,36,0
Georgia,Pulaski,36,2
West Virginia,Harrison,36,1
Mississippi,Prentiss,36,3
Arkansas,Johnson,35,0
Kentucky,Grant,35,3
Oklahoma,Ottawa,35,2
Georgia,Haralson,35,2
Ohio,Fulton,35,0
Washington,Lewis,35,3
Arkansas,Clark,35,0
Virginia,Essex,35,0
Utah,Iron,35,0
Texas,Frio,35,0
Nebraska,Custer,35,4
Illinois,Morgan,35,1
North Carolina,Polk,35,3
Indiana,Pulaski,35,0
Alabama,Lawrence,35,0
North Carolina,Carteret,35,3
California,Mono,34,1
California,Shasta,34,4
Nebraska,Unknown,34,0
Kentucky,Scott,34,0
Wisconsin,Marathon,34,1
North Carolina,Person,34,1
Kentucky,Barren,34,0
Georgia,Morgan,34,0
Ohio,Shelby,34,2
Tennessee,Marion,34,1
Nebraska,Butler,34,0
Kentucky,Nelson,34,0
Minnesota,Chippewa,34,0
Georgia,Bleckley,34,0
North Carolina,Warren,33,0
Washington,Mason,33,1
Indiana,Jay,33,0
Texas,Jasper,33,2
Georgia,Franklin,33,1
Wisconsin,Door,33,3
Wisconsin,Shawano,33,0
South Carolina,Newberry,33,1
Pennsylvania,Snyder,33,1
New Mexico,Rio Arriba,33,0
Virginia,Salem city,33,0
Minnesota,Murray,33,0
Pennsylvania,Clearfield,33,0
Alabama,Coosa,33,1
South Carolina,Allendale,33,3
Maine,Franklin,33,1
Kentucky,Webster,33,0
Kansas,Jackson,32,0
North Carolina,McDowell,32,1
Texas,Atascosa,32,1
Virginia,Franklin city,32,1
Virginia,Staunton city,32,0
Idaho,Bonneville,32,0
Kansas,Franklin,32,0
Pennsylvania,Bedford,32,2
Minnesota,Becker,32,0
Missouri,Butler,32,0
North Carolina,Stanly,32,4
West Virginia,Hardy,32,0
Tennessee,DeKalb,32,0
Illinois,Christian,32,5
Indiana,Clay,32,1
Florida,Wakulla,32,1
Georgia,Baker,32,2
Idaho,Elmore,31,2
Virginia,Botetourt,31,3
Ohio,Fayette,31,0
Indiana,Brown,31,1
Georgia,Jones,31,0
Tennessee,Grundy,31,1
Idaho,Washington,31,0
New Mexico,Chaves,31,2
Wisconsin,Kewaunee,31,1
Texas,Fayette,31,2
Georgia,Telfair,31,1
Ohio,Wyandot,31,2
Texas,Mason,31,0
Georgia,Cook,31,2
South Carolina,Union,31,0
Tennessee,Hawkins,31,2
Kansas,Barton,31,1
Michigan,Arenac,31,1
Colorado,Teller,31,2
Georgia,Wilkes,30,1
Arkansas,Yell,30,1
Pennsylvania,Wyoming,30,5
Louisiana,Sabine,30,0
Virginia,Franklin,30,1
Missouri,St. Francois,30,2
Minnesota,Crow Wing,30,1
Illinois,Vermilion,30,1
North Carolina,Beaufort,30,0
Iowa,Iowa,30,0
Ohio,Hardin,30,0
Nebraska,York,30,0
Ohio,Preble,30,1
Alaska,Juneau City and Borough,30,0
Georgia,Talbot,30,1
Georgia,Clay,30,3
Washington,Jefferson,30,0
Oklahoma,Muskogee,30,6
Georgia,Madison,30,1
Iowa,Clayton,30,3
Wisconsin,Oconto,30,0
Oregon,Coos,30,0
South Carolina,Hampton,30,0
Texas,Hutchinson,30,0
Indiana,Perry,30,1
Tennessee,Smith,29,1
Idaho,Lincoln,29,0
Nebraska,Merrick,29,0
Arkansas,Hot Spring,29,0
Georgia,Charlton,29,1
Tennessee,Haywood,29,1
Colorado,Montezuma,29,3
Minnesota,Morrison,29,0
Oklahoma,Cherokee,29,1
Wisconsin,Clark,29,4
Oklahoma,Pawnee,29,2
West Virginia,Mineral,29,0
Missouri,Adair,29,0
Wyoming,Campbell,29,0
Montana,Toole,29,6
Virginia,Halifax,29,0
Alabama,Cherokee,29,0
West Virginia,Putnam,29,0
North Carolina,Ashe,28,0
Ohio,Defiance,28,1
Kansas,Saline,28,2
Oklahoma,Mayes,28,4
Indiana,Sullivan,28,0
Texas,Castro,28,1
Kansas,Wabaunsee,28,0
Virginia,Waynesboro city,28,0
Florida,Jefferson,28,2
Vermont,Lamoille,28,1
North Dakota,Ward,28,1
Texas,Burnet,28,0
Iowa,Osceola,28,0
Arkansas,Van Buren,28,2
California,Yuba,28,1
Indiana,Starke,28,2
Arkansas,Poinsett,28,2
Kentucky,Pike,28,2
Virginia,Gloucester,28,1
Michigan,Mason,27,0
Pennsylvania,Greene,27,0
New Mexico,Roosevelt,27,0
Illinois,Livingston,27,1
Virginia,Madison,27,1
Indiana,Whitley,27,2
Louisiana,Madison,27,0
Alabama,Clay,27,2
Idaho,Gooding,27,0
South Carolina,Jasper,27,1
Maine,Sagadahoc,27,0
Virginia,New Kent,27,1
Tennessee,Weakley,27,0
Ohio,Lawrence,27,0
Indiana,Owen,27,1
Indiana,DeKalb,27,2
Missouri,Jasper,27,0
Texas,Donley,27,0
Nebraska,Dixon,27,0
Texas,Fannin,27,2
Minnesota,Lyon,26,0
Tennessee,Jefferson,26,0
Florida,Dixie,26,1
North Carolina,Washington,26,3
Florida,Baker,26,3
Georgia,Emanuel,26,2
Texas,Camp,26,0
Tennessee,Marshall,26,1
Arkansas,Independence,26,0
Massachusetts,Dukes,26,1
Georgia,Jeff Davis,26,1
Colorado,Lake,26,0
Iowa,Buchanan,26,0
Colorado,Kit Carson,26,3
North Carolina,Haywood,26,0
Georgia,Jasper,26,0
Texas,San Patricio,26,0
Texas,San Augustine,26,1
Virginia,Pittsylvania,26,1
California,Butte,26,0
Ohio,Guernsey,26,0
Florida,Union,26,0
Kansas,Stevens,26,0
Kansas,McPherson,26,0
Ohio,Carroll,26,2
Illinois,Douglas,26,0
New York,Yates,26,5
Nebraska,Seward,26,1
Missouri,Dunklin,26,2
Florida,Levy,25,0
Virginia,Cumberland,25,0
Colorado,Fremont,25,0
Washington,Klickitat,25,3
Oklahoma,Stephens,25,1
Wisconsin,Manitowoc,25,1
South Carolina,Cherokee,25,2
Georgia,Jefferson,25,1
Tennessee,Carroll,25,1
Wisconsin,Marinette,25,2
Oregon,Josephine,25,1
Oregon,Douglas,25,0
West Virginia,Marshall,25,0
Iowa,Fayette,25,0
Nevada,Douglas,25,0
Virginia,Amherst,25,0
Missouri,Warren,25,0
Virginia,Powhatan,25,0
Alaska,Kenai Peninsula Borough,25,1
Texas,Milam,25,1
Mississippi,Pontotoc,25,2
Arkansas,Greene,25,0
Utah,Box Elder,25,1
Virginia,Appomattox,24,0
Virginia,Charles City,24,1
Tennessee,Hamblen,24,2
Nebraska,Washington,24,1
Georgia,Crawford,24,0
Georgia,Hart,24,0
North Carolina,Jackson,24,1
Oregon,Jefferson,24,0
Texas,Hockley,24,1
Iowa,Shelby,24,0
Ohio,Logan,24,0
Wyoming,Sweetwater,24,0
Iowa,Wright,24,0
Mississippi,Stone,24,0
Pennsylvania,Clarion,24,2
Wyoming,Converse,24,0
Kansas,Labette,23,0
Oklahoma,Nowata,23,0
Oklahoma,Beaver,23,0
Virginia,Wise,23,2
Nevada,Elko,23,1
Kansas,Pottawatomie,23,0
Arkansas,Randolph,23,0
Minnesota,Douglas,23,0
Kentucky,Russell,23,4
Mississippi,Choctaw,23,2
Georgia,Berrien,23,0
Kansas,Butler,23,0
Texas,Hill,23,1
Alabama,Geneva,23,0
Indiana,Knox,23,0
Texas,Sherman,23,0
Nebraska,Cass,23,0
Texas,Kendall,23,0
Ohio,Champaign,23,1
Oklahoma,Garfield,23,1
Ohio,Knox,23,1
Ohio,Brown,23,1
Indiana,Benton,23,0
Iowa,Clarke,23,0
Texas,Van Zandt,23,1
Michigan,Grand Traverse,23,5
Missouri,Callaway,23,1
Wisconsin,Crawford,23,0
Texas,Pecos,23,0
Indiana,Crawford,23,1
New Mexico,Taos,22,0
Louisiana,Grant,22,1
Nebraska,Saunders,22,1
Wisconsin,Pierce,22,0
North Carolina,Jones,22,2
Kansas,Meade,22,0
Georgia,Atkinson,22,2
Arizona,Gila,22,1
Georgia,Irwin,22,1
Iowa,Marion,22,0
Tennessee,Meigs,22,0
Mississippi,Webster,22,1
North Carolina,Perquimans,22,2
Colorado,San Miguel,22,0
Alabama,Perry,22,0
Idaho,Payette,22,2
Texas,Hood,22,3
Wisconsin,Juneau,22,1
Texas,Andrews,22,0
Alaska,Matanuska-Susitna Borough,22,1
Oklahoma,Tillman,22,1
Iowa,Monroe,22,1
Georgia,Taylor,22,2
Texas,Wood,22,0
Mississippi,Tishomingo,21,0
North Dakota,Williams,21,0
Illinois,Jo Daviess,21,0
Hawaii,Kauai,21,0
Kentucky,Clark,21,0
Oklahoma,Jackson,21,1
Minnesota,Waseca,21,0
Kentucky,Laurel,21,2
Missouri,Christian,21,0
Louisiana,Vernon,21,2
Texas,Cass,21,0
Oklahoma,Seminole,21,2
Kansas,Clark,21,0
Virginia,Grayson,21,0
Mississippi,Tallahatchie,21,1
Virginia,Brunswick,21,1
Iowa,O'Brien,21,0
Alabama,Conecuh,21,0
Oregon,Malheur,21,0
Tennessee,White,21,0
Michigan,Emmet,21,2
Mississippi,Quitman,21,0
Georgia,Towns,21,1
Tennessee,Lawrence,21,0
Georgia,Echols,21,0
Washington,Clallam,21,0
Northern Mariana Islands,Unknown,21,2
North Carolina,Alexander,21,0
South Dakota,Turner,21,0
Indiana,Tipton,21,1
Pennsylvania,Crawford,21,0
Ohio,Coshocton,21,0
Michigan,Roscommon,21,0
Mississippi,Franklin,21,1
Indiana,Union,21,0
Iowa,Winneshiek,21,0
Virginia,Amelia,20,1
South Dakota,Roberts,20,0
Kentucky,Franklin,20,0
Iowa,Lee,20,0
Georgia,Dade,20,1
Minnesota,Rock,20,0
Kansas,Montgomery,20,2
New Mexico,Torrance,20,1
Nebraska,Clay,20,0
Kentucky,Hart,20,0
Indiana,Huntington,20,2
Kansas,Jefferson,20,0
Maine,Knox,20,0
Tennessee,Henry,20,0
Kentucky,Meade,20,2
Georgia,Screven,20,1
Texas,Burleson,20,0
Tennessee,Cocke,20,0
Colorado,Park,20,0
Virginia,Northumberland,20,1
Alabama,Monroe,20,2
California,Inyo,20,1
Georgia,Chattahoochee,20,0
Kentucky,Perry,20,0
Arizona,Graham,20,0
Idaho,Madison,20,0
Texas,Austin,20,0
Georgia,Heard,20,1
Indiana,Parke,20,0
Wisconsin,Dunn,20,0
Maine,Somerset,20,0
Kentucky,McLean,20,0
Wisconsin,Waupaca,19,1
Missouri,Andrew,19,0
Nebraska,Thurston,19,0
Kentucky,Boyle,19,0
Arkansas,Drew,19,1
Kentucky,Woodford,19,0
Louisiana,West Carroll,19,0
New Mexico,Guadalupe,19,0
Oklahoma,Lincoln,19,2
Nevada,Lander,19,0
Virginia,Greene,19,1
Texas,Colorado,19,0
Tennessee,Obion,19,1
Texas,Starr,19,0
Indiana,Switzerland,19,0
Tennessee,Carter,19,1
Michigan,Cheboygan,19,1
Minnesota,Isanti,19,0
Oklahoma,Bryan,19,1
Idaho,Cassia,19,1
Michigan,Mecosta,19,2
Mississippi,George,19,1
Illinois,Jersey,19,1
Virginia,Clarke,19,0
Iowa,Lyon,19,0
Arkansas,Ashley,19,0
Kentucky,Harrison,19,0
Illinois,Fayette,19,2
Michigan,Ogemaw,18,0
Oklahoma,Okmulgee,18,0
Oklahoma,Logan,18,1
New Mexico,Lea,18,0
Kentucky,Floyd,18,0
Minnesota,McLeod,18,0
Indiana,Wells,18,0
Arkansas,Desha,18,0
Arkansas,Columbia,18,2
New York,Franklin,18,0
Texas,Upshur,18,0
New York,Lewis,18,0
Virginia,Nottoway,18,0
South Carolina,Bamberg,18,0
Washington,Asotin,18,2
Indiana,Fountain,18,2
Colorado,Saguache,18,0
Tennessee,Overton,18,0
Idaho,Minidoka,18,0
South Dakota,Moody,18,0
Texas,Dallam,18,0
North Carolina,Dare,18,1
Illinois,Washington,18,0
Oregon,Wasco,18,1
Virginia,Buchanan,18,0
Missouri,Newton,18,1
Iowa,Harrison,18,0
Washington,Whitman,18,0
Illinois,Ford,18,1
Tennessee,Campbell,17,1
Indiana,Blackford,17,1
West Virginia,Morgan,17,0
Arkansas,Cleveland,17,0
Missouri,Clinton,17,0
Michigan,Gladwin,17,1
South Dakota,Hughes,17,0
South Dakota,Todd,17,0
South Dakota,Codington,17,0
Michigan,Kalkaska,17,2
North Carolina,Cherokee,17,1
Texas,Limestone,17,1
Tennessee,Morgan,17,0
Texas,DeWitt,17,1
Georgia,Schley,17,1
Maine,Oxford,17,0
Minnesota,Fillmore,17,1
Maine,Lincoln,17,0
Kentucky,Marion,17,0
Arkansas,Sebastian,17,0
Nebraska,Cuming,17,0
Kansas,Grant,17,0
Iowa,Grundy,17,0
Iowa,Cerro Gordo,17,0
Tennessee,Lincoln,17,0
Kentucky,Todd,17,0
New Mexico,Eddy,17,1
Illinois,Menard,17,0
Missouri,Webster,17,0
